,n,k,name,alpha,was_broken,iters
175,10,5,bfgs,,False,14
176,10,10,const_search,0.0001,True,1000
177,10,10,const_search,0.01,False,234
178,10,10,wolfe_search,,False,59
179,10,10,bfgs,,False,13
180,20,1,const_search,0.0001,True,1000
181,20,1,const_search,0.01,True,1000
182,20,1,wolfe_search,,False,2
183,20,1,bfgs,,False,2
184,20,5,const_search,0.0001,True,1000
185,20,5,const_search,0.01,False,622
186,20,5,wolfe_search,,False,28
187,20,5,bfgs,,False,18
188,20,10,const_search,0.0001,True,1000
189,20,10,const_search,0.01,False,184
190,20,10,wolfe_search,,False,34
191,20,10,bfgs,,False,28
192,2,1,const_search,0.0001,True,1000
193,2,1,const_search,0.01,True,1000
194,2,1,wolfe_search,,False,2
195,2,1,bfgs,,False,2
196,2,5,const_search,0.0001,True,1000
197,2,5,const_search,0.01,False,987
198,2,5,wolfe_search,,False,24
199,2,5,bfgs,,False,4
200,2,10,const_search,0.0001,True,1000
201,2,10,const_search,0.01,False,588
202,2,10,wolfe_search,,False,51
203,2,10,bfgs,,False,8
204,5,1,const_search,0.0001,True,1000
205,5,1,const_search,0.01,True,1000
206,5,1,wolfe_search,,False,2
207,5,1,bfgs,,False,2
208,5,5,const_search,0.0001,True,1000
209,5,5,const_search,0.01,True,1000
210,5,5,wolfe_search,,False,25
211,5,5,bfgs,,False,10
212,5,10,const_search,0.0001,True,1000
213,5,10,const_search,0.01,False,418
214,5,10,wolfe_search,,False,113
215,5,10,bfgs,,False,10
216,10,1,const_search,0.0001,True,1000
217,10,1,const_search,0.01,True,1000
218,10,1,wolfe_search,,False,2
219,10,1,bfgs,,False,2
220,10,5,const_search,0.0001,True,1000
221,10,5,const_search,0.01,False,918
222,10,5,wolfe_search,,False,23
223,10,5,bfgs,,False,9
224,10,10,const_search,0.0001,True,1000
225,10,10,const_search,0.01,False,288
226,10,10,wolfe_search,,False,50
227,10,10,bfgs,,False,14
228,20,1,const_search,0.0001,True,1000
229,20,1,const_search,0.01,True,1000
230,20,1,wolfe_search,,False,2
231,20,1,bfgs,,False,2
232,20,5,const_search,0.0001,True,1000
233,20,5,const_search,0.01,False,418
234,20,5,wolfe_search,,False,109
235,20,5,bfgs,,False,18
236,20,10,const_search,0.0001,True,1000
237,20,10,const_search,0.01,False,390
238,20,10,wolfe_search,,False,115
239,20,10,bfgs,,False,25
