,n,k,name,was_broken,iters,ans
42,20,1,gradient_search,False,1,"[-4.3614939102736265, -2.461254526512018, 0.035822149682636084, 9.703347050252534, 9.608639277897197, 0.4117168449268682, 5.55403017608773, -2.7883390310260037, 5.604285214793377, -9.671556726338808, 9.817465566822626, 6.5985863628295105, -0.45807845946665315, 6.846838736654521, -3.6515920676552294, -1.0721534309726755, 8.14955757583255, -4.611272082133732, 5.284937721148973, 7.882091720430633]"
43,20,1,bfgs,False,29,"[0.99999998 0.99999998 0.99999998 0.99999999 0.99999999 0.99999999
 0.99999999 0.99999999 0.99999999 0.99999999 1.         1.
 1.         1.         1.         1.         1.         0.99999999
 0.99999999 0.99999999]"
44,20,5,gradient_search,False,1,"[4.970812140814635, -7.271560770406838, 4.407113776795506, 9.747012051598617, -0.08639410605864262, 1.9632909082859173, -5.4280593380960385, -0.4654732510996995, -5.370665101277023, 9.184962799827158, -5.243721138841176, -5.060279762076789, -1.1759744031873076, 4.795681147493869, 7.365293500213037, -1.8272015463147073, 7.981390211567632, 7.158821380101854, 6.404788987290755, 2.6134621292761517]"
45,20,5,bfgs,False,27,"[0.99999999 0.99999998 0.99999999 1.         0.99999999 0.99999999
 0.99999999 0.99999998 0.99999998 0.99999999 0.99999999 0.99999999
 0.99999999 1.         1.         1.         1.00000001 1.00000001
 1.00000001 1.00000001]"
46,20,10,gradient_search,False,1,"[-0.9148615774108548, 3.48895529116958, -8.685300517913806, -9.68780278014777, 9.05859475859123, 3.5247772409063716, -0.5569588882075971, -4.384486056225185, -3.0189652507267684, -7.168142884720998, 4.601595195831127, -4.745104033426115, -4.922074131848257, -0.2240611668207526, 0.5409517391781726, 8.65039028804354, 5.768987904318013, -2.935010926604451, 5.440554358142045, 7.559938978334195]"
47,20,10,bfgs,False,28,"[1.0000001  1.0000001  1.00000011 1.00000011 1.00000008 1.00000007
 1.00000008 1.00000009 1.00000008 1.00000007 1.00000006 1.00000006
 1.00000006 1.00000004 1.00000003 1.00000001 1.00000002 1.00000003
 1.00000001 1.        ]"
48,2,1,gradient_search,False,1,"[-5.195170001501386, 2.2874615693199374]"
49,2,1,bfgs,False,4,[0.99998489 0.9999849 ]
50,2,5,gradient_search,False,1,"[-7.029676230756518, -9.326867661499785]"
51,2,5,bfgs,False,5,[1. 1.]
52,2,10,gradient_search,False,1,"[-0.38881636658645746, -9.269778514557936]"
53,2,10,bfgs,False,5,[1. 1.]
54,5,1,gradient_search,False,1,"[5.653718292990682, -8.340601238316879, -2.9880392541102374, -2.084547176588183, 3.83703776283701]"
55,5,1,bfgs,False,10,[0.99999997 0.99999998 0.99999999 0.99999998 0.99999997]
56,5,5,gradient_search,False,1,"[7.965328427770634, 2.1532223929900574, -3.938402806216823, -9.40803519934915, 7.918937248437667]"
57,5,5,bfgs,False,9,[0.99999991 1.00000001 1.00000003 0.99999998 0.99999999]
58,5,10,gradient_search,False,1,"[-6.467015081212766, 5.130390897076024, -6.72471252810205, -9.140334649779458, -0.08166677967031744]"
59,5,10,bfgs,False,11,[1.00000041 1.00000039 1.00000044 1.00000046 1.00000041]
60,10,1,gradient_search,False,1,"[-1.7562685213794382, -5.708408349366181, 0.7863472842013364, 3.740969365468607, 9.651106087693655, -5.685463473984671, 1.1885844365153364, 2.7152038384797095, -5.75784323748898, -9.71821818341953]"
61,10,1,bfgs,False,17,"[0.99999992 0.99999992 0.99999993 0.99999994 0.99999995 0.99999994
 0.99999994 0.99999994 0.99999993 0.99999993]"
62,10,5,gradient_search,False,1,"[-5.11456248226831, -5.31391278755486, 9.294035324182357, 4.07867013969073, -7.729682439568906, -6.820233710377024, 8.915236050076835, 7.127460281480387, 2.724672010109659, 2.075337501561496]"
63,10,5,bfgs,False,16,"[1.00000014 1.00000016 1.00000018 1.00000016 1.00000011 1.00000002
 0.99999989 0.99999983 0.99999979 0.9999998 ]"
64,10,10,gradient_search,False,1,"[-1.7660741753607456, -7.654328013125966, 3.539693327332485, 2.218577756951381, -4.756559259674658, 9.291133900550106, 4.898266999998451, -7.547447545135613, -5.2812379871459125, 2.9532664339469528]"
65,10,10,bfgs,False,16,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
66,20,1,gradient_search,False,1,"[-2.179059962538652, 1.0157642134519351, 1.319380646244932, -6.472090929167162, 2.54150524074243, 2.258434256195627, -3.0349834808178278, -1.7031288906866404, 1.7936485189139817, 9.619240752660827, -0.35974728583992643, -9.580364608474747, 8.459604966492728, -1.6943327330936597, -1.9842721302801047, 5.569996673866983, -6.260877063670809, -6.32396568415685, -3.755607920821804, -2.056461727898491]"
67,20,1,bfgs,False,27,"[0.99999937 0.99999939 0.99999938 0.99999937 0.99999938 0.99999941
 0.99999939 0.99999938 0.99999941 0.99999944 0.9999994  0.99999937
 0.99999942 0.99999941 0.99999942 0.99999942 0.9999994  0.99999938
 0.99999939 0.99999938]"
68,20,5,gradient_search,False,1,"[-0.39824161833057037, -9.81747523192444, -0.05059097838678639, 5.9177542645700605, -7.257080645988592, -7.275353253371685, 4.65585582710043, -5.565363913618675, -4.043168028643704, -1.1423219939870433, 2.363841440482841, -4.87377206396332, -8.513197970131936, -9.545120266262277, 3.064148258709849, 4.169822960464325, -4.3366832854887765, -4.354156758130934, 9.34183072434834, -2.736534070671952]"
69,20,5,bfgs,False,27,"[0.99999713 0.99999718 0.99999733 0.99999755 0.99999771 0.99999778
 0.99999792 0.99999817 0.99999844 0.99999875 0.99999914 0.99999961
 1.00000008 1.00000057 1.00000102 1.00000132 1.00000158 1.00000175
 1.00000188 1.00000187]"
70,20,10,gradient_search,False,1,"[7.921306665219405, -4.157250329281393, -7.221820565812864, 3.481737809821115, 5.537197347117746, 3.806468384393018, -5.276269842882522, -2.1034647150577346, 1.2812448460652015, -7.01736239627621, 8.80817568022836, 3.3420520536264653, -3.9926850564451977, 2.6266196677920273, -3.3914770696188223, -1.4128733416121841, 2.4363992428868553, 4.770013984497576, -5.309529980258125, 6.077567453816293]"
71,20,10,bfgs,False,28,"[1.00000011 1.00000011 1.00000011 1.00000011 1.0000001  1.00000011
 1.00000012 1.00000012 1.00000012 1.00000012 1.00000012 1.00000012
 1.00000013 1.00000013 1.00000013 1.00000013 1.00000013 1.00000013
 1.00000013 1.00000013]"
72,2,1,gradient_search,False,1,"[9.628775698949513, -1.4861452041312329]"
73,2,1,bfgs,False,4,[1.00001894 1.00001895]
74,2,5,gradient_search,False,1,"[2.6553457997173235, -6.0698682849614745]"
75,2,5,bfgs,False,4,[0.99998328 0.9999831 ]
76,2,10,gradient_search,False,1,"[0.8565407737895736, -2.1664856587547354]"
77,2,10,bfgs,False,4,[0.99998998 0.99998984]
78,5,1,gradient_search,False,1,"[9.089774431553108, -1.9229746089046063, 1.743200155300062, 0.02493484391927092, 6.529084151111335]"
79,5,1,bfgs,False,11,[0.99999994 0.99999995 0.99999995 0.99999995 0.99999994]
80,5,5,gradient_search,False,1,"[9.95399030615249, -2.137388981359163, -1.361847481756806, 2.468410274543835, 7.997681139165591]"
81,5,5,bfgs,False,11,[1. 1. 1. 1. 1.]
82,5,10,gradient_search,False,1,"[-6.130273002215512, -5.889241128816298, 6.892720174761031, -4.221921189768936, -6.91820291127123]"
83,5,10,bfgs,False,12,[0.99999997 0.99999996 0.99999997 0.99999996 0.99999996]
84,10,1,gradient_search,False,1,"[-5.0716313966385895, 6.604731859830702, -4.914826510175214, 5.541308073046924, 3.1940197711914586, -9.558711695354347, -5.023858318008571, 5.072427723973377, 9.751953719164671, -4.195554303551916]"
85,10,1,bfgs,False,17,"[0.99999943 0.99999943 0.99999942 0.99999941 0.9999994  0.99999937
 0.99999937 0.9999994  0.9999994  0.99999936]"
86,10,5,gradient_search,False,1,"[2.0632931379265584, 6.748917034393052, 6.204194258494724, -6.188391681335279, -9.451644035420621, 4.2942777415418725, -8.149246310844276, 4.610455162538987, -8.443019022313003, -0.4821814516781231]"
87,10,5,bfgs,False,16,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
88,10,10,gradient_search,False,1,"[0.07215488310873486, -6.600051116238756, -6.321239027681569, 2.689915864487582, 2.6756384127052946, -4.137142794467352, 7.836394170967904, 1.0757975943386522, -0.5733770625568302, 6.070958241492026]"
89,10,10,bfgs,False,16,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
90,20,1,gradient_search,False,1,"[6.206640135069272, 1.5287944373505424, 6.071827805857575, 8.142586754536083, -8.448882477308846, -1.7552245892580132, 9.165916516719362, 4.933934813124575, -8.710148166248537, 8.408498763616965, -0.93836926689991, -9.083708124181662, 7.745674802181172, 7.789965677932871, 4.567136106949466, 3.359678724741104, -7.102956702016215, -1.0738984296613263, 7.789451015416398, 6.970346263811676]"
91,20,1,bfgs,False,29,"[1.00000007 1.00000006 1.00000003 0.99999999 0.99999993 0.99999987
 0.99999981 0.99999973 0.99999966 0.99999958 0.99999949 0.9999994
 0.99999932 0.99999924 0.99999917 0.9999991  0.99999903 0.99999898
 0.99999895 0.99999893]"
92,20,5,gradient_search,False,1,"[6.860352521413347, -5.982331738009226, 8.042286392652853, 5.342323750616613, 5.833661846239795, -0.04856163677412262, -7.495405181313057, 9.349268720619326, -0.5652978759733629, 4.832832127475884, -5.625325796192486, 4.243772905497776, 7.533699204740502, -9.669228140937902, -1.9989436309490927, -7.3678218267295525, -2.6684288274943158, 2.116031502431661, -1.8122800795727634, -0.7820269657199774]"
93,20,5,bfgs,False,27,"[0.99999996 0.99999996 0.99999996 0.99999996 0.99999997 0.99999996
 0.99999996 0.99999996 0.99999995 0.99999995 0.99999994 0.99999994
 0.99999994 0.99999994 0.99999994 0.99999994 0.99999994 0.99999995
 0.99999995 0.99999995]"
94,20,10,gradient_search,False,1,"[-0.5565464036260082, -5.50611864701229, -3.9617868747744067, 6.118321024576638, -6.474344172019741, 6.737423852097524, 3.7426096390111008, -4.287014591713532, 2.2545976164311687, -7.0344181829295955, -1.904999120449844, 5.407106988214673, -3.4244494813389115, -5.454795538161945, -4.136483594663883, -8.911092764684785, 3.423701292744996, 6.1098208010412165, 9.398779221130626, 3.9545758182265045]"
95,20,10,bfgs,False,27,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
96,2,1,gradient_search,False,1,"[3.75394045791259, 8.151582203440526]"
97,2,1,bfgs,False,5,[1. 1.]
98,2,5,gradient_search,False,1,"[0.5497338464792612, -3.376514542033755]"
99,2,5,bfgs,False,4,[0.9999855  0.99998527]
100,2,10,gradient_search,False,1,"[9.752079144153035, 0.7934301879209049]"
101,2,10,bfgs,False,4,[1.00002613 1.00002605]
102,5,1,gradient_search,False,1,"[-5.804537840369961, -0.284149917480776, -6.125307475303403, -0.9865433328148643, 0.37221270346365243]"
103,5,1,bfgs,False,12,[0.99999997 0.99999998 0.99999997 0.99999997 0.99999998]
104,5,5,gradient_search,False,1,"[3.628246359786975, -8.797037136911438, -7.190877761668997, 7.055605671207575, 0.738124730717955]"
105,5,5,bfgs,False,11,[1.00000239 1.00000248 1.00000247 1.00000245 1.00000236]
106,5,10,gradient_search,False,1,"[-2.6272726889513742, 9.570452846212516, -5.124221718937408, -0.3299699133534073, -0.7058923778869164]"
107,5,10,bfgs,False,11,[1. 1. 1. 1. 1.]
108,10,1,gradient_search,False,1,"[-5.746460355101222, -8.931419112952412, 1.9932752775992069, 2.3288025296088977, -3.9575971926533637, -8.652566898900858, -1.4523614265952034, -3.6073077642761, 3.769008663281348, -1.9711444114117938]"
109,10,1,bfgs,False,16,"[1.00000059 1.00000059 1.00000051 1.0000005  1.00000051 1.00000051
 1.00000049 1.00000046 1.00000044 1.00000047]"
110,10,5,gradient_search,False,1,"[-5.757981766923416, -2.2221747655494206, -3.3792942314290775, -5.243495295849838, -7.331562268168998, -4.760544771540271, -2.6736170342081933, -4.210690760398852, 2.602966279734047, -1.365822262329306]"
111,10,5,bfgs,False,17,"[0.99999999 0.99999999 0.99999999 0.99999999 0.99999998 0.99999999
 0.99999999 0.99999999 1.00000001 1.        ]"
112,10,10,gradient_search,False,1,"[-7.777727526638769, -0.22253740639720077, 9.18220106826922, -5.514874841557019, 8.230679655090329, -9.211023144418585, -7.268556137018896, -6.0027180597360585, 6.001506701973989, -3.846891158026431]"
113,10,10,bfgs,False,16,"[0.99999996 0.99999996 0.99999996 0.99999997 0.99999998 1.
 1.00000002 1.00000004 1.00000005 1.00000007]"
114,20,1,gradient_search,False,1,"[2.850963780734803, 4.314316327278367, 3.6983960272355443, -3.3450370350728997, -9.403124239786802, 3.899214359473473, 5.906411994011307, 3.7273848453011205, 3.1707162730490945, -3.9207500649271343, -8.272821026725145, 4.341688039847778, -1.2130539048431843, -4.153725028875299, 6.3674466098216715, -9.568893728935848, -3.7847571778792477, -4.4173270612641495, 6.376896229270221, 8.025816798241493]"
115,20,1,bfgs,False,27,"[1.00000001 1.00000001 1.00000001 1.00000001 1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.         1.        ]"
116,20,5,gradient_search,False,1,"[8.349210804673854, 2.532622118867398, -0.5094174883462199, 9.097446045397671, 9.860582807848468, 6.204045375444515, 3.297557765621988, 0.3995461505944209, 4.525682213184061, 4.433458658856919, 1.6235594482056026, 7.86635350847469, 7.8260404243077915, -7.906663220471632, -1.4239833471717733, -5.645302594618102, -9.011042394618542, 8.305005378972151, 1.8562129899399826, 6.970730961441227]"
117,20,5,bfgs,False,28,"[0.99999993 0.99999994 0.99999996 0.99999994 0.99999993 0.99999994
 0.99999996 0.99999997 0.99999997 0.99999998 1.00000001 0.99999999
 0.99999998 1.00000003 1.00000002 1.00000004 1.00000005 1.00000001
 1.00000002 1.        ]"
118,20,10,gradient_search,False,1,"[7.7271761768028835, -1.7414594003405237, 9.45952387394078, 7.000782905861853, 1.0290912012306186, 7.360750661048215, 5.1891545082616775, 0.8872214570068548, 9.611327861990214, -1.7466882474630685, -2.103616864389206, 2.501835090871376, 4.606228291834542, -4.266447895854164, -6.703241934594462, -3.1043983704573486, 4.060559485447723, 4.912120816031331, 9.034733036224878, 5.890124152479686]"
119,20,10,bfgs,False,28,"[0.99999958 0.9999997  0.99999965 0.9999997  0.99999978 0.99999976
 0.9999998  0.99999994 0.99999997 1.00000014 1.00000028 1.00000024
 1.00000027 1.00000047 1.00000062 1.00000061 1.00000056 1.0000005
 1.00000047 1.00000048]"
